# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.351389e-01   2.445535e-14   2.710657e-04   3.572118e-15   144
  3.363470e-01   1.222002e-14   2.842800e-04   6.368917e-16   384
  3.378125e-01   1.068623e-14   7.786718e-09   1.769700e-15   120
  3.385379e-01   1.089364e-14   2.534951e-04   6.483274e-16   264
  3.395201e-01   1.180472e-14   1.256576e-08   8.094185e-16   192
  3.404451e-01   7.393385e-15   2.731894e-04   1.751402e-15   152
  3.412191e-01   2.616536e-15   7.492773e-09   1.333150e-16   144
  3.428472e-01   2.115890e-15   1.768108e-04   2.170249e-16   216
  3.436008e-01   1.319003e-14   2.362665e-04   7.812170e-16   312
  3.449274e-01   9.195255e-15   2.738281e-04   5.443802e-16   240
  3.457090e-01   1.849811e-15   3.973643e-09   5.725422e-17   96
  3.471927e-01   2.740767e-14   2.617995e-04   3.835236e-15   144
  3.481071e-01   9.579187e-15   2.573258e-04   5.720463e-16   456
  3.495904e-01   2.227903e-14   0.000000e+00   1.880278e-15   120
  3.501414e-01   2.045305e-14   0.000000e+00   1.539762e-15   144
  3.512407e-01   4.624023e-14   0.000000e+00   0.000000e+00   24
  3.519456e-01   1.367786e-14   2.473498e-04   5.301429e-16   336
  3.531645e-01   1.585618e-14   2.727931e-04   8.953812e-16   198
  3.543067e-01   1.676555e-14   2.652756e-04   1.450206e-15   432
  3.556041e-01   3.455361e-15   0.000000e+00   1.454997e-16   48
  3.562810e-01   4.316147e-15   2.341925e-04   2.352382e-16   384
  3.574963e-01   1.727610e-15   2.696052e-04   1.033999e-16   144
  3.585975e-01   4.794239e-15   2.676825e-04   2.991027e-16   264
  3.599147e-01   1.005034e-15   0.000000e+00   1.548424e-24   48
  3.607984e-01   3.834872e-14   2.545223e-04   9.140625e-15   276
  3.616510e-01   6.015527e-15   2.307176e-04   4.881490e-16   192
  3.627906e-01   9.221632e-15   2.592759e-04   6.046671e-16   552
  3.641741e-01   8.427210e-15   8.991328e-09   7.150812e-16   120
  3.649965e-01   7.410052e-15   2.624511e-04   4.951842e-16   216
  3.657587e-01   1.382052e-15   4.495664e-09   8.269963e-17   120
  3.671201e-01   5.145723e-15   2.584500e-04   2.064333e-16   408
  3.683844e-01   4.547177e-14   5.619580e-09   0.000000e+00   24
  3.691684e-01   1.303667e-14   2.610810e-04   9.365534e-16   384
  3.702633e-01   2.115405e-15   2.550855e-04   1.441298e-16   240
  3.712141e-01   4.417437e-15   2.569535e-04   3.993353e-16   168
  3.725471e-01   4.472923e-14   6.357829e-09   5.062929e-15   120
  3.734064e-01   7.250234e-15   2.678605e-04   1.303101e-15   350
  3.748037e-01   9.676324e-15   4.409502e-04   4.782643e-16   384
  3.756388e-01   2.603426e-14   0.000000e+00   2.806685e-15   144
  3.771752e-01   1.173911e-14   1.059638e-08   7.926420e-16   288
  3.779773e-01   7.168690e-15   2.524053e-04   4.301996e-16   336
  3.790686e-01   1.454523e-14   2.297941e-04   8.618529e-16   168
  3.797219e-01   4.622003e-15   4.541306e-09   3.453247e-16   336
  3.810732e-01   8.231510e-15   2.385126e-04   3.834919e-16   288
  3.818848e-01   2.325556e-15   2.247398e-04   2.792583e-16   264
  3.832590e-01   1.455294e-14   0.000000e+00   1.673921e-15   240
  3.837616e-01   1.210746e-15   7.947286e-09   7.400666e-17   96
  3.855656e-01   1.501914e-14   3.056310e-04   7.527827e-16   360
  3.864075e-01   6.475337e-15   2.253025e-04   5.025961e-16   168
  3.874713e-01   3.896935e-15   2.456032e-04   2.098338e-16   456
  3.887523e-01   4.184341e-14   7.064254e-09   1.031276e-14   108
  3.894728e-01   1.944310e-14   2.464311e-04   2.148057e-15   264
  3.903716e-01   3.607635e-14   2.198567e-04   2.550765e-15   264
  3.916025e-01   3.950400e-14   2.074668e-04   3.065219e-15   312
  3.931351e-01   1.539594e-14   1.541705e-04   1.877268e-15   270
  3.937775e-01   1.487320e-14   1.957388e-04   1.326672e-15   240
  3.949323e-01   1.244801e-15   2.421536e-04   6.575169e-17   384
  3.956334e-01   9.458274e-15   0.000000e+00   6.731654e-16   192
  3.969952e-01   3.519365e-15   1.942960e-04   1.753402e-16   240
  3.977852e-01   1.466613e-14   2.397927e-04   1.042495e-15   336
  3.992708e-01   8.736943e-15   2.413972e-04   5.687397e-16   480
  4.004761e-01   7.934719e-16   0.000000e+00   7.594509e-17   72
  4.011493e-01   2.279021e-14   2.353842e-04   1.788036e-15   240
  4.020650e-01   1.167679e-14   2.212289e-04   6.499166e-16   312
  4.031147e-01   2.649246e-14   2.390954e-04   2.787477e-15   240
  4.047009e-01   9.945526e-15   1.816506e-04   8.861453e-16   408
  4.053288e-01   1.969637e-14   1.663482e-04   1.008591e-15   336
  4.065560e-01   1.480736e-14   2.112212e-04   1.421151e-15   264
  4.071591e-01   8.788939e-15   0.000000e+00   2.660415e-16   144
  4.088370e-01   9.664052e-15   2.927651e-04   6.930004e-16   464
  4.097211e-01   6.097451e-15   2.328083e-04   4.890836e-16   168
  4.105939e-01   1.305312e-14   2.120376e-04   5.559888e-16   336
  4.121713e-01   2.171181e-14   2.227870e-04   1.234506e-15   414
  4.130606e-01   4.142145e-15   2.319080e-04   2.906668e-16   216
  4.141998e-01   1.499220e-14   5.619580e-09   2.598660e-15   96
  4.146649e-01   5.882158e-15   1.685874e-08   2.450110e-16   384
  4.162944e-01   2.452851e-14   2.314600e-04   2.333349e-15   492
  4.171676e-01   1.030342e-14   2.263480e-04   9.912853e-16   240
  4.181546e-01   5.374171e-15   2.298225e-04   3.381454e-16   312
  4.195176e-01   6.436949e-15   2.297469e-04   6.697776e-16   192
  4.203810e-01   1.028611e-14   2.226525e-04   4.699041e-16   504
  4.215265e-01   1.896690e-14   1.473998e-04   1.640229e-15   408
  4.224284e-01   4.975363e-15   4.515774e-04   4.882254e-16   168
  4.235571e-01   7.402310e-15   2.145032e-04   4.004917e-16   288
  4.245041e-01   4.261968e-15   2.238525e-04   2.569901e-16   288
  4.254743e-01   1.351625e-14   2.251410e-04   1.077674e-15   432
  4.268815e-01   1.124714e-14   2.129084e-04   1.543246e-15   216
  4.276334e-01   6.918791e-15   2.124592e-04   4.004320e-16   360
  4.289721e-01   4.465023e-15   2.073582e-04   2.470071e-16   312
  4.301803e-01   2.747796e-15   0.000000e+00   4.379605e-24   48
  4.308767e-01   1.887203e-14   2.223178e-04   2.830311e-15   432
  4.321240e-01   6.431633e-15   3.708284e-04   3.259004e-16   414
  4.328606e-01   7.784769e-15   1.956255e-08   6.483175e-16   312
  4.342347e-01   4.802164e-15   3.253813e-04   2.302255e-16   528
  4.351620e-01   2.437433e-15   1.707976e-04   2.339925e-16   264
  4.362761e-01   1.161982e-14   2.025191e-04   5.329201e-16   480
  4.377318e-01   1.515832e-14   0.000000e+00   1.048090e-15   288
  4.383604e-01   1.319369e-14   2.176005e-04   5.691161e-16   168
  4.395105e-01   7.189965e-15   3.444610e-04   4.577131e-16   504
  4.408036e-01   4.593233e-15   7.492773e-09   2.573109e-16   144
  4.416171e-01   8.620617e-15   2.212265e-04   6.380367e-16   464
  4.428396e-01   8.102446e-15   3.246624e-04   5.218120e-16   432
  4.434197e-01   4.540437e-15   5.619580e-09   3.532575e-16   192
  4.449189e-01   2.611575e-14   2.406833e-04   4.397280e-15   396
  4.458042e-01   2.659573e-15   2.162000e-04   1.484390e-16   288
  4.466990e-01   3.856197e-15   2.135686e-04   2.169780e-16   336
  4.481283e-01   4.070043e-15   1.352359e-04   2.390232e-16   432
  4.490354e-01   9.744479e-15   3.505126e-04   5.981903e-16   360
  4.500539e-01   9.456871e-15   2.073334e-04   5.431416e-16   384
  4.515004e-01   1.149692e-14   1.830116e-04   6.639453e-16   198
  4.521974e-01   5.675072e-15   2.080246e-04   3.174976e-16   552
  4.534970e-01   8.760876e-15   2.912202e-04   4.373476e-16   432
  4.545821e-01   9.758847e-15   0.000000e+00   1.180952e-15   168
  4.554927e-01   8.664499e-15   3.610065e-04   4.277778e-16   480
  4.566974e-01   6.006802e-15   0.000000e+00   4.143429e-16   120
  4.572396e-01   3.173620e-15   2.948545e-04   1.632531e-16   336
  4.585628e-01   6.783174e-15   2.080152e-04   2.999962e-16   672
  4.598711e-01   5.170547e-15   3.025866e-04   2.122042e-16   528
  4.604805e-01   2.343518e-15   9.082613e-09   8.392560e-17   168
  4.618883e-01   9.729152e-15   3.375333e-04   4.897646e-16   456
  4.627474e-01   7.575986e-16   2.061344e-04   3.984357e-17   168
  4.636392e-01   1.062056e-14   2.057643e-04   4.682954e-16   504
  4.651216e-01   1.306735e-14   2.647872e-04   1.222444e-15   336
  4.660180e-01   2.508493e-15   1.908802e-04   1.570855e-16   312
  4.670124e-01   7.112713e-15   1.865029e-04   3.576155e-16   504
  4.683210e-01   1.735200e-14   1.294009e-04   8.895534e-16   432
  4.689362e-01   1.138275e-14   1.999672e-04   3.652435e-16   312
  4.702151e-01   1.157279e-14   2.049761e-04   6.380240e-16   384
  4.715504e-01   2.472532e-14   1.741510e-04   2.414167e-15   126
  4.723748e-01   1.745720e-14   3.057676e-04   1.682647e-15   492
  4.734278e-01   5.422262e-15   1.958445e-04   2.981589e-16   528
  4.747438e-01   1.110949e-14   1.989360e-04   5.470149e-16   480
  4.755596e-01   8.035890e-15   2.748289e-04   6.111785e-16   432
  4.767402e-01   1.186308e-14   2.161166e-04   8.351268e-16   440
  4.781114e-01   7.164953e-15   1.074739e-04   4.012439e-16   312
  4.786259e-01   1.349999e-14   1.610586e-04   9.486211e-16   480
  4.796813e-01   2.661417e-15   3.153497e-04   7.418685e-17   408
